,event_id,matchday,date,home,score,away,home_score,away_score,home_win,away_win,tie
0,0,1,2024-04-13,Atlético Ottawa,2–1,York United,2.0,1.0,1.0,0.0,0.0
1,1,1,2024-04-13,Forge FC,2–1,Cavalry FC,2.0,1.0,1.0,0.0,0.0
2,2,1,2024-04-13,Pacific FC,1–0,HFX Wanderers,1.0,0.0,1.0,0.0,0.0
3,3,1,2024-04-14,Vancouver FC,4–1,Valour FC,4.0,1.0,1.0,0.0,0.0
4,4,2,2024-04-18,Vancouver FC,2–0,HFX Wanderers,2.0,0.0,1.0,0.0,0.0
5,5,2,2024-04-19,Pacific FC,2–0,Valour FC,2.0,0.0,1.0,0.0,0.0
6,6,2,2024-04-20,Atlético Ottawa,1–1,Cavalry FC,1.0,1.0,0.0,0.0,1.0
7,7,2,2024-04-21,York United,0–3,Forge FC,0.0,3.0,0.0,1.0,0.0
8,8,3,2024-04-26,York United,3–0,Vancouver FC,3.0,0.0,1.0,0.0,0.0
9,9,3,2024-04-27,HFX Wanderers,1–3,Atlético Ottawa,1.0,3.0,0.0,1.0,0.0
10,10,3,2024-04-27,Forge FC,2–1,Valour FC,2.0,1.0,1.0,0.0,0.0
11,11,3,2024-04-28,Cavalry FC,0–0,Pacific FC,0.0,0.0,0.0,0.0,1.0
12,12,4,2024-05-03,Cavalry FC,3–1,Vancouver FC,3.0,1.0,1.0,0.0,0.0
13,13,4,2024-05-04,Pacific FC,2–0,York United,2.0,0.0,1.0,0.0,0.0
14,14,4,2024-05-05,Atlético Ottawa,2–0,Valour FC,2.0,0.0,1.0,0.0,0.0
15,15,4,2024-08-14,Forge FC,2–0,HFX Wanderers,2.0,0.0,1.0,0.0,0.0
16,16,5,2024-05-10,York United,3–1,Valour FC,3.0,1.0,1.0,0.0,0.0
17,17,5,2024-05-11,HFX Wanderers,1–1,Cavalry FC,1.0,1.0,0.0,0.0,1.0
18,18,5,2024-05-11,Pacific FC,0–0,Forge FC,0.0,0.0,0.0,0.0,1.0
19,19,5,2024-05-12,Vancouver FC,1–1,Atlético Ottawa,1.0,1.0,0.0,0.0,1.0
